RegistrationNo,ProductName,TotalContent,FirstProve,Period,Toxicity,Company,Remark,ScrapedAt
PD20211606,metamifop、cyhalofop-butyl,20%,2021.08.25,2031.08.24,Lowly Toxic,"Dezhou Luba Fine Chemical Co., Ltd.",2021年12月20日，登记证持有人变更，原持有人为济南绿霸农药有限公司。2022年04月02日，变更原持有人山东绿霸化工股份有限公司。,2026-05-03T19:10:28.528143
PD20211588,clothianidin、fludioxonil,33%,2021.08.25,2031.08.24,Lowly Toxic,"QINGDAO ZHENGDAO PHARMACEUTICAL CO.,LTD",2025年2月25日，增加小麦根腐病、金针虫。,2026-05-03T19:10:28.528143
PD20211581,spinosad、abamectin-aminomethyl,19.5%,2021.08.25,2031.08.24,Lowly Toxic,"Shanghai Yuelian Biotech Co., Ltd.",甲氨基阿维菌素苯甲酸盐4%。2022年04月24日，增加甘蓝蓟马。 2025年9月1日，增加扁豆蓟马。,2026-05-03T19:10:28.528143
PD20211565,azadirachtin,0.5%,2021.08.25,2031.08.24,Lowly Toxic,"Bangnongda (Weifang) Crop Science Co., Ltd.",2023年3月28日，变更原持有人山东天威农药有限公司。,2026-05-03T19:10:28.528143
PD20211562,thiamethoxam,30%,2021.08.25,2031.08.24,Lowly Toxic,"JILIN JINQIU PESTICIDE CO., LTD",,2026-05-03T19:10:28.528143
PD20211550,clothianidin、cyfluthrin,0.2%,2021.08.25,2031.08.24,Lowly Toxic,Henan Jintiandi Pesticide and Chemical  Limited  corporation,2022年04月24日，增加花生蛴螬。,2026-05-03T19:10:28.528143
PD20211545,chlorfenapyr、thiamethoxam,30%,2021.08.25,2031.08.24,Lowly Toxic,"Qingdao Hengfeng Crop Science Co.,Ltd",,2026-05-03T19:10:28.528143
PD20211540,abamectin-aminomethyl,8%,2021.08.25,2031.08.24,Moderately Toxic,"Shanghai Yuelian Biotech Co., Ltd.",甲氨基阿维菌素苯甲酸盐9.1%。2022年04月24日，增加甘蓝蓟马。 2023年6月21日，增加水稻二化螟、稻纵卷叶螟。 2024年4月28日，增加松树松材线虫。,2026-05-03T19:10:28.528143
PD20211518,dinotefuran、pyridaben,20%,2021.08.25,2031.08.24,Lowly Toxic,"FOSHAN  WANBON   BIOLOGICAL  CO., LTD",,2026-05-03T19:10:28.528143
PD20211514,chlorfenapyr、clothianidin,28%,2021.08.25,2031.08.24,Lowly Toxic,"XI'AN HYTECH AGROCHEMICALS CO., LTD.",,2026-05-03T19:10:28.528143
PD20211511,pymetrozine、thiacloprid,50%,2021.08.25,2031.08.24,Lowly Toxic,"Shaanxi Sunger Road BIO-Science Co.,LTD.",2022年03月25日，增加苹果树绵蚜。,2026-05-03T19:10:28.528143
PD20211508,acetamiprid、lambda-cyhalothrin,40%,2021.08.25,2031.08.24,Lowly Toxic,"Anhui Meiland Agricultural Development Co., Ltd",2025年3月16日，增加小麦蚜虫。,2026-05-03T19:10:28.528143
PD20211502,dinotefuran、spirotetramat,14%,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Hongye Crop Science Co., LTD",2023年11月23日，变更原持有人山东万豪化工股份有限公司。2024年2月4日，变更原持有人青岛慧至生物科技有限公司。2025年7月4日，变更原持有人山东万豪农化有限公司。,2026-05-03T19:10:28.528143
PD20211497,diafenthiuron、abamectin-aminomethyl,47.8%,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Henglida BIO-SCIENCE CO.,LTD",甲氨基阿维菌素苯甲酸盐1.5%。,2026-05-03T19:10:28.528143
PD20211474,4-indol-3-ylbutyric acid、(+)-abscisic acid,2%,2021.08.25,2031.08.24,Slightly Toxic,"Weinan DowinNova Biotechnology Co., Ltd.",2022年09月03日，变更原持有人四川百事东旺生物科技有限公司。,2026-05-03T19:10:28.528143
PD20211473,6-benzylamino-purine、triacontanol,2%,2021.08.25,2031.08.24,Slightly Toxic,"Weinan DowinNova Biotechnology Co., Ltd.",2022年09月03日，变更原持有人四川百事东旺生物科技有限公司。 2025年7月28日，增加大豆调节生长。,2026-05-03T19:10:28.528143
PD20211470,paclobutrazol、chlormequat,30%,2021.08.25,2031.08.24,Lowly Toxic,"Zhong Mian Xiao Kang Biotechnology Co., Ltd.",2025年5月30日，增加小麦调节生长、水稻调节生长。 2026年4月17日，增加桃树控梢。,2026-05-03T19:10:28.528143
PD20211460,choline chloride,60%,2021.08.25,2031.08.24,Lowly Toxic,"LION AGREVO(JIANGSU)CO.,LTD",,2026-05-03T19:10:28.528143
PD20211450,fluopicolide、propamocarb hydrochloride,687.5克/升,2021.08.25,2031.08.24,Lowly Toxic,"QINGDAO ZHENGDAO PHARMACEUTICAL CO.,LTD",氟吡菌胺5.5%，霜霉威盐酸盐55%。,2026-05-03T19:10:28.528143
PD20211448,azoxystrobin、cyproconazole,280克/升,2021.08.25,2031.08.24,Lowly Toxic,"RUDONG ZHONGYI CHEMICAL CO., LTD.",嘧菌酯18.5%；环丙唑醇7.5%。,2026-05-03T19:10:28.528143
PD20211432,oligosaccharins,5%,2021.08.25,2031.08.24,Lowly Toxic,"Zhumadian Jinxiu Star Crop Science Co., Ltd",2024年4月28日，变更原持有人河南锦绣之星作物保护有限公司。 2025年12月9日，增加荆芥疫病、药用百合疫病、山药疫病、三七疫病、丹参疫病。,2026-05-03T19:10:28.528143
PD20211429,tebuconazole,60克/升,2021.08.25,2031.08.24,Lowly Toxic,"JILIN JINQIU PESTICIDE CO., LTD",,2026-05-03T19:10:28.528143
PD20211422,oxine-copper、kasugamycin,33%,2021.08.25,2031.08.24,Lowly Toxic,"Qingdao Xiaofeng Biotechnology Co., Ltd",,2026-05-03T19:10:28.528143
PD20211418,picoxystrobin、propiconazol,19%,2021.08.25,2031.08.24,Lowly Toxic,"Shanghai Yuelian Biotech Co., Ltd.",2022年04月24日，增加小麦赤霉病。 2025年2月25日，增加马铃薯早疫病。 2025年9月25日，增加玉米小斑病、大豆叶斑病。,2026-05-03T19:10:28.528143
PD20211417,hymexazol,98%,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Kunniu Plant Protection Co., Ltd",,2026-05-03T19:10:28.528143
PD20211413,oxine-copper,33.5%,2021.08.25,2031.08.24,Lowly Toxic,"Zhejiang Tianfeng Bioscience Co., Ltd.",,2026-05-03T19:10:28.528143
PD20211407,famoxadone、cyazofamid,45%,2021.08.25,2031.08.24,Lowly Toxic,"Brightmart Cropscience Co., Ltd",2022年04月02日，变更原持有人广东省佛山市盈辉作物科学有限公司。,2026-05-03T19:10:28.528143
PD20211405,isoprothiolane、hymexazol,20%,2021.08.25,2031.08.24,Lowly Toxic,"XI'AN HYTECH AGROCHEMICALS CO., LTD.",,2026-05-03T19:10:28.528143
PD20211396,kresoxim-methyl,30%,2021.08.25,2031.08.24,Lowly Toxic,"Xianglin Meifeng Biotechnology (Huai'an) Co., Ltd",,2026-05-03T19:10:28.528143
PD20211395,fluazinam、cymoxanil,50%,2021.08.25,2031.08.24,Lowly Toxic,"Brightmart Cropscience Co., Ltd",2022年04月02日，变更原持有人广东省佛山市盈辉作物科学有限公司。,2026-05-03T19:10:28.528143
PD20211389,polyoxin B、difenoconazole,15%,2021.08.25,2031.08.24,Lowly Toxic,Shaanxi province pucheng meierguo agrochemicals  limited liability company,,2026-05-03T19:10:28.528143
PD20211388,prochloraz、tebuconazole,400克/升,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Hongye Crop Science Co., LTD",质量分数37%（戊唑醇12.3%，咪鲜胺24.7%）。2023年11月23日，变更原持有人山东万豪化工股份有限公司。2024年2月4日，变更原持有人青岛慧至生物科技有限公司。2025年7月4日，变更原持有人山东万豪农化有限公司。,2026-05-03T19:10:28.528143
PD20211386,oxine-copper、kasugamycin,33%,2021.08.25,2031.08.24,Lowly Toxic,"Shandong Tongfang Biotechnology Co., Ltd",春雷霉素盐酸盐3.3%。2022年04月22日，变更原持有人山东源丰生物科技有限公司。,2026-05-03T19:10:28.528143
PD20211382,bacillus subtilis,1000亿芽孢/克,2021.08.25,2031.08.24,Lowly Toxic,"Bangnongda (Weifang) Crop Science Co., Ltd.",2023年3月28日，变更原持有人山东天威农药有限公司。,2026-05-03T19:10:28.528143
PD20211371,triticonazole、imidacloprid、fludioxonil,12%,2021.08.25,2031.08.24,Lowly Toxic,"Jilin Province Bada Pesticide Co., Ltd.",2025年12月22日，变更原持有人吉林省八达农药有限公司。,2026-05-03T19:10:28.528143
PD20110859,sulfuryl fluoride,99%,2011.08.23,2031.08.22,Moderately Toxic,LONGKOU CITY CHEMICAL PLANT,仅限专业人员使用。,2026-05-03T19:10:28.528143
WP20110195,bifenthrin,2.5%,2011.08.22,2031.08.21,Lowly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",,2026-05-03T19:10:28.528143
WP20110194,abamectin-aminomethyl,0.1%,2011.08.22,2031.08.21,Slightly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",甲氨基阿维菌素苯甲酸盐含量为:0.11%。,2026-05-03T19:10:28.528143
PD20110912,abamectin-aminomethyl,5%,2011.08.22,2031.08.21,Lowly Toxic,"Qingdao Haolite Bio-pesticide Co., Ltd",甲氨基阿维菌素苯甲酸盐含量：5.7%。2022年04月02日，变更原持有人山东省青岛好利特生物农药有限公司。,2026-05-03T19:10:28.528143
PD20110911,glyphosate,68%,2011.08.22,2031.08.21,Lowly Toxic,"Xianglin Meifeng Biotechnology (Huai'an) Co., Ltd",草甘膦铵盐含量为：74.7%。,2026-05-03T19:10:28.528143
WP20110191,fenvalerate、beta-cypermethrin,0.48%,2011.08.17,2031.08.16,Lowly Toxic,"Henan Hanshi Sanitary Products  Technology Co.,Ltd.",,2026-05-03T19:10:28.528143
PD20110906,bacillus thuringiensis,16000IU/毫克,2011.08.17,2031.08.16,Lowly Toxic,"Shandong Henglida BIO-SCIENCE CO.,LTD",2024年3月26日，增加食用玫瑰三节叶蜂、芝麻棉铃虫。,2026-05-03T19:10:28.528143
PD20110904,myclobutanil,40%,2011.08.17,2031.08.16,Lowly Toxic,"Fujian Sinodashing Biotech Co., LTD",,2026-05-03T19:10:28.528143
PD20110901,abamectin-aminomethyl,2%,2011.08.17,2031.08.16,Lowly Toxic,"Hebei Diamond Pharmaceutical Co., Ltd.",甲氨基阿维菌素苯甲酸盐含量:2.3%。2024年4月28日，变更原持有人河北德美化工有限责任公司。,2026-05-03T19:10:28.528143
PD20110896,abamectin-aminomethyl,0.5%,2011.08.17,2031.08.16,Lowly Toxic,"Shandong Zhongxin Kenong Biological Technology Co.,Ltd",甲氨基阿维菌素苯甲酸盐0.57%。 2024年4月28日，增加豇豆蓟马。,2026-05-03T19:10:28.528143
PD20110893,imidacloprid,70%,2011.08.17,2031.08.16,Lowly Toxic,"Shandong Wanhao Crop Science Co., LTD",2025年12月12日，变更原持有人济南天邦化工有限公司。,2026-05-03T19:10:28.528143
PD20110892,amitraz,200克/升,2011.08.17,2031.08.16,Lowly Toxic,"Shandong Henglida BIO-SCIENCE CO.,LTD",,2026-05-03T19:10:28.528143
PD20110891,rotenone,2.5%,2011.08.16,2031.08.15,Moderately Toxic,Guangzhou Yinong Biochemistry Iimited Company,,2026-05-03T19:10:28.528143
PD20110888,暂无,1.8%,2011.08.16,2031.08.15,Lowly Toxic,Hebei Shenhua Pharmaceutical Co.，Ltd.,,2026-05-03T19:10:28.528143
PD20110878,carbosulfan,35%,2011.08.16,2031.08.15,Moderately Toxic,"Qingdao Modern Agrochemical Co., Ltd.",2023年7月9日，变更原持有人山东省青岛现代农化有限公司。,2026-05-03T19:10:28.528143
PD20110874,butralin,48%,2011.08.16,2031.08.15,Lowly Toxic,"JIANGXI BUFFETT CHEMICAL Co.,Ltd.",,2026-05-03T19:10:28.528143
PD20110871,sulfometuron-methyl,75%,2011.08.16,2031.08.15,Slightly Toxic,"JIANGSU INSTITUTE OF ECOMONES CO., LTD",,2026-05-03T19:10:28.528143
PD20110870,tebuconazole,80%,2011.08.16,2031.08.15,Lowly Toxic,"Shanghai Shengnong Pesticide Co.,Ltd",,2026-05-03T19:10:28.528143
PD20110869,glyphosate,30%,2011.08.15,2031.08.14,Lowly Toxic,"Zhejiang Jinfanda Biochemical Co.,Ltd.",质量浓度360克/升。草甘膦铵盐33%，396克/升。 2023年6月21日，变更原剂型水剂。,2026-05-03T19:10:28.528143
PD85132-4,jingangmycin A,4%,,2031.08.13,Lowly Toxic,"HENAN BISAIER AGRICULTURAL SCIENCE AND TECHNOLOGY CO., LTD.",,2026-05-03T19:10:28.528143
PD86158-2,fosetyl-aluminium,95%、87%,,2031.08.09,Lowly Toxic,"Zhenjiang Jiangnan Chemicals Co., Ltd.",,2026-05-03T19:10:28.528143
PD20110865,acephate,92%,2011.08.10,2031.08.09,Lowly Toxic,ADAMA LTD.,2025年10月30日，增加棉花棉铃虫。,2026-05-03T19:10:28.528143
PD20110860,glyphosate,50%,2011.08.10,2031.08.09,Lowly Toxic,Chongqing Yongchuan Chemical Products Factory,草甘膦胺盐含量:55%。,2026-05-03T19:10:28.528143
PD20110843,difenoconazole、propiconazol,300克/升,2011.08.10,2031.08.09,Lowly Toxic,"GUANGDONG MAOMING LVYIN AGROCHEMICAL CO.,LTD",,2026-05-03T19:10:28.528143
PD20110841,abamectin-aminomethyl,3%,2011.08.10,2031.08.09,Lowly Toxic,"Qingdao Hengfeng Crop Science Co.,Ltd",甲氨基阿维菌素苯甲酸盐含量:3.4%。,2026-05-03T19:10:28.528143
PD20110836,bifenthrin,100克/升,2011.08.10,2031.08.09,Moderately Toxic,"Shandong Henglida BIO-SCIENCE CO.,LTD",,2026-05-03T19:10:28.528143
PD20110834,abamectin-aminomethyl,5%,2011.08.10,2031.08.09,Lowly Toxic,"Yantai Keda Chemical Co.,Ltd",甲氨基阿维菌素苯甲酸盐含量:5.7%。2024年7月18日，变更原持有人山东省烟台科达化工有限公司。,2026-05-03T19:10:28.528143
PD20110832,glyphosate,68%,2011.08.10,2031.08.09,Lowly Toxic,"Zhejiang Jinfanda Biochemical Co.,Ltd.",草甘膦铵盐含量：75.7%。,2026-05-03T19:10:28.528143
PD20110828,pyrimethanil,40%,2011.08.10,2031.08.09,Lowly Toxic,Shaanxi province pucheng meierguo agrochemicals  limited liability company,,2026-05-03T19:10:28.528143
PD20110826,acetamiprid,20%,2011.08.10,2031.08.09,Lowly Toxic,"Shandong Zhongxin Kenong Biological Technology Co.,Ltd",2023年11月21日，增加金银花蚜虫。,2026-05-03T19:10:28.528143
PD20110825,bifenthrin,25克/升,2011.08.10,2031.08.09,Moderately Toxic,"Shandong Henglida BIO-SCIENCE CO.,LTD",,2026-05-03T19:10:28.528143
WP20210154,diethyltoluamide,10%,2021.08.06,2031.08.05,Slightly Toxic,abc,,2026-05-03T19:10:28.528143
WP20210153,ethyl butylacetylaminopropionate,5%,2021.08.06,2031.08.05,Slightly Toxic,Zhejiang Lamking Bio-Technology Co.，Ltd,,2026-05-03T19:10:28.528143
WP20210152,d-phenothrin、esbiothrin,0.55%,2021.08.06,2031.08.05,Slightly Toxic,,,2026-05-03T19:10:28.528143
WP20210150,d-cyphenothrin、esbiothrin,0.3%,2021.08.06,2031.08.05,Lowly Toxic,"Chengxi rongxing mosquito-repellent incense factory, Chaozhou City, Guangdong province",2023年11月10日，变更原持有人广东省潮州市城西荣兴蚊香厂。,2026-05-03T19:10:28.528143
WP20210149,meperfluthrin,0.08%,2021.08.06,2031.08.05,Slightly Toxic,Zhejiang Lamking Bio-Technology Co.，Ltd,,2026-05-03T19:10:28.528143
WP20210145,meperfluthrin,0.8%,2021.08.06,2031.08.05,Slightly Toxic,"FUJIAN SUNLIGHT INDUSTRIAL CO.,LTD.",,2026-05-03T19:10:28.528143
WP20210144,ethyl butylacetylaminopropionate,7%,2021.08.06,2031.08.05,Slightly Toxic,"Huangshan Lishen Commodity co.,Ltd",,2026-05-03T19:10:28.528143
WP20210143,p-dichlorobenzene,99%,2021.08.06,2031.08.05,Lowly Toxic,"Jinjiang Jintong mosquito Repellent Incence co., Ltd",2024年7月4日，变更原持有人福建省晋江金童蚊香制品有限公司。,2026-05-03T19:10:28.528143
WP20210142,meperfluthrin,0.08%,2021.08.06,2031.08.05,Slightly Toxic,"Shandong Changyu Group Baolelai Daily Chemicals Co.,Ltd",,2026-05-03T19:10:30.116160
WP20210139,clothianidin、beta-cyfluthrin,1%,2021.08.06,2031.08.05,Lowly Toxic,"Shandong Zhongxin Kenong Biological Technology Co.,Ltd",,2026-05-03T19:10:30.116160
WP20210138,indoxacarb、hydramethylnon,0.8%,2021.08.06,2031.08.05,Slightly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",,2026-05-03T19:10:30.116160
WP20210135,meperfluthrin,0.6%,2021.08.06,2031.08.05,Slightly Toxic,,2023年11月10日，变更原持有人抚州泰菊实业有限公司。,2026-05-03T19:10:30.116160
WP20210134,meperfluthrin,0.8%,2021.08.06,2031.08.05,Slightly Toxic,"Huangshan Lishen Commodity co.,Ltd",,2026-05-03T19:10:30.116160
PD20211343,chlorantraniliprole、abamectin-aminomethyl,15.5%,2021.08.06,2031.08.05,Lowly Toxic,"Hunan dafang agrochemicals  Co.,LTD",甲氨基阿维菌素苯甲酸盐4%。,2026-05-03T19:10:30.116160
PD20211342,bifenthrin、thiacloprid,6%,2021.08.06,2031.08.05,Lowly Toxic,"SHANDONG SHIBANG AGRICULTURAL CHEMISTRY CO., LTD",2023年1月19日，变更原持有人济南仕邦农化有限公司。,2026-05-03T19:10:30.116160
PD20211340,lufenuron、abamectin-aminomethyl,7.6%,2021.08.06,2031.08.05,Lowly Toxic,"Jiangsu Flag Chemical Industry Co.,Ltd.",甲氨基阿维菌素苯甲酸盐3%。,2026-05-03T19:10:30.116160
PD20211339,chlorantraniliprole、clothianidin,1%,2021.08.06,2031.08.05,Slightly Toxic,"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。,2026-05-03T19:10:30.116160
PD20211336,metaldehyde,80%,2021.08.06,2031.08.05,Lowly Toxic,"Heze Beilian Agrochemical Manufacture CO,limited",,2026-05-03T19:10:30.116160
PD20211335,chlorpyrifos,45%,2021.08.06,2031.08.05,Moderately Toxic,ADAMA Anpon (Jiangsu) Ltd,,2026-05-03T19:10:30.116160
PD20211333,thiodicarb,350克/升,2021.08.06,2031.08.05,Moderately Toxic,"Shangyu Nutrichem Co., Ltd.",质量分数31%。,2026-05-03T19:10:30.116160
PD20211331,chlorfenapyr、lufenuron,12%,2021.08.06,2031.08.05,Lowly Toxic,"Shandong Hongye Crop Science Co., LTD",2023年11月23日，变更原持有人山东万豪化工股份有限公司。2024年2月4日，变更原持有人青岛慧至生物科技有限公司。2025年7月4日，变更原持有人山东万豪农化有限公司。,2026-05-03T19:10:30.116160
PD20211327,indoxacarb、abamectin-aminomethyl,8.8%,2021.08.06,2031.08.05,Lowly Toxic,"Shandong Hongye Crop Science Co., LTD",甲氨基阿维菌素苯甲酸盐1.5%。2023年11月23日，变更原持有人山东万豪化工股份有限公司。2024年2月4日，变更原持有人青岛慧至生物科技有限公司。2025年7月4日，变更原持有人山东万豪农化有限公司。,2026-05-03T19:10:30.116160
PD20211320,spodopteralitura NPV,20亿PIB/毫升,2021.08.06,2031.08.05,Lowly Toxic,"Jiangsu Suke Agrochemical Co., Ltd.",,2026-05-03T19:10:30.116160
PD20211316,abamectin、lufenuron,20%,2021.08.06,2031.08.05,Moderately Toxic (technical material is highly toxic),"Shandong Henglida BIO-SCIENCE CO.,LTD",,2026-05-03T19:10:30.116160
PD20211314,flonicamid,50%,2021.08.06,2031.08.05,Lowly Toxic,"Zhejiang Zhongshan Chemical Industry Group Co., Ltd.",2023年6月21日，增加水稻稻飞虱。 2025年5月30日，增加棉花蚜虫。,2026-05-03T19:10:30.116160
PD20211313,tolfenpyrad、abamectin-aminomethyl,19.5%,2021.08.06,2031.08.05,Moderately Toxic,NANJING NAU PESTICIDE TECHNOLOGY DEVELOPMENT CO.LTD.,甲氨基阿维菌素苯甲酸盐4%。,2026-05-03T19:10:30.116160
PD20211312,lambda-cyhalothrin,50克/升,2021.08.06,2031.08.05,Moderately Toxic,ADAMA Anpon (Jiangsu) Ltd,,2026-05-03T19:10:30.116160
PD20211308,ivermectin,5%,2021.08.06,2031.08.05,Lowly Toxic,"SYNWILL CO., LTD.",2022年04月24日，增加松树松材线虫。,2026-05-03T19:10:30.116160
PD20211305,spirotetramat、buprofezin,33%,2021.08.06,2031.08.05,Lowly Toxic,"Fujian Sinodashing Biotech Co., LTD",,2026-05-03T19:10:30.116160
PD20211298,abamectin-aminomethyl,5%,2021.08.06,2031.08.05,Lowly Toxic,"Ningxia Taiyicin Biotech Co., Ltd.",甲氨基阿维菌素苯甲酸盐5.7%。2022年09月03日，变更原持有人宁夏泰益欣生物科技有限公司。,2026-05-03T19:10:30.116160
PD20211297,etoxazole、bifenazate,45%,2021.08.06,2031.08.05,Lowly Toxic,"Shandong Hongye Crop Science Co., LTD",2023年11月23日，变更原持有人山东万豪化工股份有限公司。2024年2月4日，变更原持有人青岛慧至生物科技有限公司。2025年7月4日，变更原持有人山东万豪农化有限公司。,2026-05-03T19:10:30.116160
PD20211296,diflubenzuron,25%,2021.08.06,2031.08.05,Lowly Toxic,"Shandong Jingbo Agrochemicals Technology Co., Ltd.",2023年2月15日，变更原持有人京博农化科技有限公司。,2026-05-03T19:10:30.116160
PD20211292,bacillus thuringiensis,8000IU/微升,2021.08.06,2031.08.05,Lowly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",,2026-05-03T19:10:30.116160
PD20211288,thiamethoxam、monosultap,0.5%,2021.08.06,2031.08.05,Slightly Toxic,"Brightmart Cropscience Co., Ltd",2022年04月02日，变更原持有人广东省佛山市盈辉作物科学有限公司。,2026-05-03T19:10:30.116160
PD20211287,thiocyclam-hydrogenoxalate、acetamiprid,39.4%,2021.08.06,2031.08.05,Moderately Toxic,"Guangxi Huifeng Biotechnology Co. , Ltd.",杀虫环草酸50%。,2026-05-03T19:10:30.116160
PD20211284,bifenthrin、thiamethoxam,7%,2021.08.06,2031.08.05,Lowly Toxic,"Shandong Hongye Crop Science Co., LTD",2023年11月23日，变更原持有人山东万豪化工股份有限公司。2024年2月4日，变更原持有人青岛慧至生物科技有限公司。2025年7月4日，变更原持有人山东万豪农化有限公司。,2026-05-03T19:10:30.116160
